x,y,u
0,0,0
0.010101,0,1.5208e-22
0.020202,0,3.04161e-22
0.030303,0,4.56241e-22
0.040404,0,6.08322e-22
0.0505051,0,7.60402e-22
0.0606061,0,9.12483e-22
0.0707071,0,1.06456e-21
0.0808081,0,1.21664e-21
0.0909091,0,1.36872e-21
0.10101,0,1.5208e-21
0.111111,0,1.67289e-21
0.121212,0,1.82497e-21
0.131313,0,1.97705e-21
0.141414,0,2.12913e-21
0.151515,0,2.28121e-21
0.161616,0,2.43329e-21
0.171717,0,2.58537e-21
0.181818,0,2.73745e-21
0.191919,0,2.88953e-21
0.20202,0,3.04161e-21
0.212121,0,3.19369e-21
0.222222,0,3.34577e-21
0.232323,0,3.49785e-21
0.242424,0,3.64993e-21
0.252525,0,3.80201e-21
0.262626,0,3.95409e-21
0.272727,0,4.10617e-21
0.282828,0,4.25825e-21
0.292929,0,4.41033e-21
0.30303,0,4.56241e-21
0.313131,0,4.71449e-21
0.323232,0,4.86657e-21
0.333333,0,5.01866e-21
0.343434,0,-4.87351e-19
0.353535,0,-9.79721e-19
0.363636,0,-1.47209e-18
0.373737,0,-1.96446e-18
0.383838,0,-2.45683e-18
0.393939,0,-2.9492e-18
0.40404,0,-3.44157e-18
0.414141,0,-3.93394e-18
0.424242,0,-4.42631e-18
0.434343,0,-4.91868e-18
0.444444,0,-5.41105e-18
0.454545,0,-5.90342e-18
0.464646,0,-6.39579e-18
0.474747,0,-6.88816e-18
0.484848,0,-7.38053e-18
0.494949,0,-7.8729e-18
0.505051,0,-8.36527e-18
0.515152,0,-8.85764e-18
0.525253,0,-9.35e-18
0.535354,0,-9.84237e-18
0.545455,0,-1.03347e-17
0.555556,0,-1.08271e-17
0.565657,0,-1.13195e-17
0.575758,0,-1.18119e-17
0.585859,0,-1.23042e-17
0.59596,0,-1.27966e-17
0.606061,0,-1.3289e-17
0.616162,0,-1.37813e-17
0.626263,0,-1.42737e-17
0.636364,0,-1.47661e-17
0.646465,0,-1.52584e-17
0.656566,0,-1.57508e-17
0.666667,0,-1.62432e-17
0.676768,0,-1.5751e-17
0.686869,0,-1.52587e-17
0.69697,0,-1.47665e-17
0.707071,0,-1.42743e-17
0.717172,0,-1.37821e-17
0.727273,0,-1.32899e-17
0.737374,0,-1.27977e-17
0.747475,0,-1.23054e-17
0.757576,0,-1.18132e-17
0.767677,0,-1.1321e-17
0.777778,0,-1.08288e-17
0.787879,0,-1.03366e-17
0.79798,0,-9.84435e-18
0.808081,0,-9.35213e-18
0.818182,0,-8.85992e-18
0.828283,0,-8.3677e-18
0.838384,0,-7.87548e-18
0.848485,0,-7.38326e-18
0.858586,0,-6.89105e-18
0.868687,0,-6.39883e-18
0.878788,0,-5.90661e-18
0.888889,0,-5.41439e-18
0.89899,0,-4.92218e-18
0.909091,0,-4.42996e-18
0.919192,0,-3.93774e-18
0.929293,0,-3.44552e-18
0.939394,0,-2.95331e-18
0.949495,0,-2.46109e-18
0.959596,0,-1.96887e-18
0.969697,0,-1.47665e-18
0.979798,0,-9.84435e-19
0.989899,0,-4.92218e-19
1,0,0
0,0.010101,0
0.010101,0.010101,0.000279433
0.020202,0.010101,0.000507853
0.030303,0.010101,0.000705426
0.040404,0.010101,0.000881639
0.0505051,0.010101,0.00104168
0.0606061,0.010101,0.00118876
0.0707071,0.010101,0.00132503
0.0808081,0.010101,0.00145202
0.0909091,0.010101,0.0015709
0.10101,0.010101,0.00168257
0.111111,0.010101,0.00178775
0.121212,0.010101,0.00188703
0.131313,0.010101,0.00198089
0.141414,0.010101,0.00206977
0.151515,0.010101,0.002154
0.161616,0.010101,0.0022339
0.171717,0.010101,0.00230974
0.181818,0.010101,0.00238174
0.191919,0.010101,0.00245014
0.20202,0.010101,0.0025151
0.212121,0.010101,0.00257679
0.222222,0.010101,0.00263538
0.232323,0.010101,0.00269099
0.242424,0.010101,0.00274375
0.252525,0.010101,0.00279376
0.262626,0.010101,0.00284114
0.272727,0.010101,0.00288598
0.282828,0.010101,0.00292835
0.292929,0.010101,0.00296835
0.30303,0.010101,0.00300604
0.313131,0.010101,0.0030415
0.323232,0.010101,0.00307477
0.333333,0.010101,0.00310591
0.343434,0.010101,0.00313499
