x,y,u
0.0,0.0,0.0
0.02,0.0,0.0
0.04,0.0,0.0
0.06,0.0,0.0
0.08,0.0,0.0
0.1,0.0,0.0
0.12,0.0,0.0
0.14,0.0,0.0
0.16,0.0,0.0
0.18,0.0,0.0
0.2,0.0,0.0
0.22,0.0,0.0
0.24,0.0,0.0
0.26,0.0,0.0
0.28,0.0,0.0
0.3,0.0,0.0
0.32,0.0,0.0
0.34,0.0,0.0
0.36,0.0,0.0
0.38,0.0,0.0
0.4,0.0,0.0
0.42,0.0,0.0
0.44,0.0,0.0
0.46,0.0,0.0
0.48,0.0,0.0
0.5,0.0,0.0
0.52,0.0,0.0
0.54,0.0,0.0
0.56,0.0,0.0
0.58,0.0,0.0
0.6,0.0,0.0
0.62,0.0,0.0
0.64,0.0,0.0
0.66,0.0,0.0
0.68,0.0,0.0
0.7000000000000001,0.0,0.0
0.72,0.0,0.0
0.74,0.0,0.0
0.76,0.0,0.0
0.78,0.0,0.0
0.8,0.0,0.0
0.8200000000000001,0.0,0.0
0.84,0.0,0.0
0.86,0.0,0.0
0.88,0.0,0.0
0.9,0.0,0.0
0.92,0.0,0.0
0.9400000000000001,0.0,0.0
0.96,0.0,0.0
0.98,0.0,0.0
1.0,0.0,0.0
0.0,0.02,0.0
0.02,0.02,0.03349624932415814
0.04,0.02,0.05034212358073208
0.06,0.02,0.059384493361576786
0.08,0.02,0.06444690177660892
0.1,0.02,0.06736078669857691
0.12,0.02,0.06907010953709779
0.14,0.02,0.07008649223256803
0.16,0.02,0.07069695858978373
0.18,0.02,0.07106647094079749
0.2,0.02,0.07129151021644008
0.22,0.02,0.07142924561939676
0.24,0.02,0.07151389356530656
0.26,0.02,0.07156609533049597
0.28,0.02,0.0715983823474759
0.3,0.02,0.07161840229826297
0.32,0.02,0.07163084269246396
0.34,0.02,0.07163858711140084
0.36,0.02,0.071643414795732
0.38,0.02,0.07164642621074163
0.4,0.02,0.07164830303770775
0.42,0.02,0.07164946750702592
0.44,0.02,0.07165018016977708
0.46,0.02,0.07165059974426519
0.48,0.02,0.07165081932343033
0.5,0.02,0.07165088749529287
0.52,0.02,0.07165081932343034
0.54,0.02,0.07165059974426519
0.56,0.02,0.07165018016977706
0.58,0.02,0.0716494675070259
0.6,0.02,0.07164830303770776
0.62,0.02,0.07164642621074163
0.64,0.02,0.071643414795732
0.66,0.02,0.07163858711140084
0.68,0.02,0.07163084269246396
0.7000000000000001,0.02,0.07161840229826295
0.72,0.02,0.07159838234747588
0.74,0.02,0.07156609533049597
0.76,0.02,0.07151389356530656
0.78,0.02,0.07142924561939674
0.8,0.02,0.07129151021644008
0.8200000000000001,0.02,0.07106647094079749
0.84,0.02,0.07069695858978373
0.86,0.02,0.07008649223256805
0.88,0.02,0.06907010953709782
0.9,0.02,0.06736078669857695
0.92,0.02,0.06444690177660892
0.9400000000000001,0.02,0.05938449336157678
0.96,0.02,0.050342123580732076
0.98,0.02,0.03349624932415814
1.0,0.02,0.0
0.0,0.04,0.0
